Cultivar,seed_yiled,seed_number
Cultivar 1,41.3,20.3
Cultivar 1,36.3,19.5
Cultivar 1,36.9,18.6
Cultivar 1,38.3,19.2
Cultivar 1,38.9,18.8
Cultivar 1,35.7,18
Cultivar 1,41.1,18.1
Cultivar 1,34,17.1
Cultivar 1,39.6,18.1
Cultivar 1,36.2,17.3
Cultivar 1,40.8,18.9
Cultivar 1,38.1,18.6
Cultivar 1,40.3,18.5
Cultivar 1,33.1,16.1
Cultivar 1,43.2,18.5
Cultivar 1,35,17.9
Cultivar 1,41,20
Cultivar 1,37.7,16
Cultivar 1,37.8,20
Cultivar 1,37.9,18.6
Cultivar 1,39.7,18.9
Cultivar 1,38.6,17.2
Cultivar 1,38.2,20
Cultivar 1,38.1,17
Cultivar 1,43.2,19
Cultivar 1,38.1,16.5
Cultivar 1,45.6,20.3
Cultivar 1,39.7,17.7
Cultivar 1,42.2,19.5
Cultivar 1,39.6,20.7
Cultivar 1,42.7,18.3
Cultivar 1,38.6,17
Cultivar 1,37.3,20.5
Cultivar 1,35.7,17
Cultivar 1,41.1,18.6
Cultivar 1,36.2,17.2
Cultivar 1,37.7,19.8
Cultivar 1,40.2,17
Cultivar 1,41.4,18.5
Cultivar 1,35.2,15.9
Cultivar 1,40.6,19
Cultivar 1,38.8,17.6
Cultivar 1,41.5,18.3
Cultivar 1,39,17.1
Cultivar 1,44.1,18
Cultivar 1,38.5,17.9
Cultivar 1,43.1,19.2
Cultivar 1,36.8,18.5
Cultivar 1,37.5,18.5
Cultivar 1,38.1,17.6
Cultivar 1,41.1,17.5
Cultivar 1,35.6,17.5
Cultivar 1,40.2,20.1
Cultivar 1,37,16.5
Cultivar 1,39.7,17.9
Cultivar 1,40.2,17.1
Cultivar 1,40.6,17.2
Cultivar 1,32.1,15.5
Cultivar 1,40.7,17
Cultivar 1,37.3,16.8
Cultivar 1,39,18.7
Cultivar 1,39.2,18.6
Cultivar 1,36.6,18.4
Cultivar 1,36,17.8
Cultivar 1,37.8,18.1
Cultivar 1,36,17.1
Cultivar 1,41.5,18.5
Cultivar 2,46.5,17.9
Cultivar 2,50,19.5
Cultivar 2,51.3,19.2
Cultivar 2,45.4,18.7
Cultivar 2,52.7,19.8
Cultivar 2,45.2,17.8
Cultivar 2,46.1,18.2
Cultivar 2,51.3,18.2
Cultivar 2,46,18.9
Cultivar 2,51.3,19.9
Cultivar 2,46.6,17.8
Cultivar 2,51.7,20.3
Cultivar 2,47,17.3
Cultivar 2,52,18.1
Cultivar 2,45.9,17.1
Cultivar 2,50.5,19.6
Cultivar 2,50.3,20
Cultivar 2,58,17.8
Cultivar 2,46.4,18.6
Cultivar 2,49.2,18.2
Cultivar 2,42.4,17.3
Cultivar 2,48.5,17.5
Cultivar 2,43.2,16.6
Cultivar 2,50.6,19.4
Cultivar 2,46.7,17.9
Cultivar 2,52,19
Cultivar 2,50.5,18.4
Cultivar 2,49.5,19
Cultivar 2,46.4,17.8
Cultivar 2,52.8,20
Cultivar 2,40.9,16.6
Cultivar 2,54.2,20.8
Cultivar 2,42.5,16.7
Cultivar 2,51,18.8
Cultivar 2,49.7,18.6
Cultivar 2,47.5,16.8
Cultivar 2,47.6,18.3
Cultivar 2,52,20.7
Cultivar 2,46.9,16.6
Cultivar 2,53.5,19.9
Cultivar 2,49,19.5
Cultivar 2,46.2,17.5
Cultivar 2,50.9,19.1
Cultivar 2,45.5,17
Cultivar 2,50.9,17.9
Cultivar 2,50.8,18.5
Cultivar 2,50.1,17.9
Cultivar 2,49,19.6
Cultivar 2,51.5,18.7
Cultivar 2,49.8,17.3
Cultivar 2,48.1,16.4
Cultivar 2,51.4,19
Cultivar 2,45.7,17.3
Cultivar 2,50.7,19.7
Cultivar 2,42.5,17.3
Cultivar 2,52.2,18.8
Cultivar 2,45.2,16.6
Cultivar 2,49.3,19.9
Cultivar 2,50.2,18.8
Cultivar 2,45.6,19.4
Cultivar 2,51.9,19.5
Cultivar 2,46.8,16.5
Cultivar 2,45.7,17
Cultivar 2,55.8,19.8
Cultivar 2,43.5,18.1
Cultivar 2,49.6,18.2
Cultivar 2,50.8,19
Cultivar 2,50.2,18.7
Cultivar 3,46.1,13.2
Cultivar 3,50,16.3
Cultivar 3,48.7,14.1
Cultivar 3,50,15.2
Cultivar 3,47.6,14.5
Cultivar 3,46.5,13.5
Cultivar 3,45.4,14.6
Cultivar 3,46.7,15.3
Cultivar 3,43.3,13.4
Cultivar 3,46.8,15.4
Cultivar 3,40.9,13.7
Cultivar 3,49,16.1
Cultivar 3,45.5,13.7
Cultivar 3,48.4,14.6
Cultivar 3,45.8,14.6
Cultivar 3,49.3,15.7
Cultivar 3,42,13.5
Cultivar 3,49.2,15.2
Cultivar 3,46.2,14.5
Cultivar 3,48.7,15.1
Cultivar 3,50.2,14.3
Cultivar 3,45.1,14.5
Cultivar 3,46.5,14.5
Cultivar 3,46.3,15.8
Cultivar 3,42.9,13.1
Cultivar 3,46.1,15.1
Cultivar 3,44.5,14.3
Cultivar 3,47.8,15
Cultivar 3,48.2,14.3
Cultivar 3,50,15.3
Cultivar 3,47.3,15.3
Cultivar 3,42.8,14.2
Cultivar 3,45.1,14.5
Cultivar 3,59.6,17
Cultivar 3,49.1,14.8
Cultivar 3,48.4,16.3
Cultivar 3,42.6,13.7
Cultivar 3,44.4,17.3
Cultivar 3,44,13.6
Cultivar 3,48.7,15.7
Cultivar 3,42.7,13.7
Cultivar 3,49.6,16
Cultivar 3,45.3,13.7
Cultivar 3,49.6,15
Cultivar 3,50.5,15.9
Cultivar 3,43.6,13.9
Cultivar 3,45.5,13.9
Cultivar 3,50.5,15.9
Cultivar 3,44.9,13.3
Cultivar 3,45.2,15.8
Cultivar 3,46.6,14.2
Cultivar 3,48.5,14.1
Cultivar 3,45.1,14.4
Cultivar 3,50.1,15
Cultivar 3,46.5,14.4
Cultivar 3,45,15.4
Cultivar 3,43.8,13.9
Cultivar 3,45.5,15
Cultivar 3,43.2,14.5
Cultivar 3,50.4,15.3
Cultivar 3,45.3,13.8
Cultivar 3,46.2,14.9
Cultivar 3,45.7,13.9
Cultivar 3,54.3,15.7
Cultivar 3,45.8,14.2
Cultivar 3,49.8,16.8
Cultivar 3,46.2,14.4
Cultivar 3,49.5,16.2
Cultivar 3,43.5,14.2
Cultivar 3,50.7,15
Cultivar 3,47.7,15
Cultivar 3,46.4,15.6
Cultivar 3,48.2,15.6
Cultivar 3,46.5,14.8
Cultivar 3,46.4,15
Cultivar 3,48.6,16
Cultivar 3,47.5,14.2
Cultivar 3,51.1,16.3
Cultivar 3,45.2,13.8
Cultivar 3,45.2,16.4
Cultivar 3,49.1,14.5
Cultivar 3,52.5,15.6
Cultivar 3,47.4,14.6
Cultivar 3,50,15.9
Cultivar 3,44.9,13.8
Cultivar 3,50.8,17.3
Cultivar 3,43.4,14.4
Cultivar 3,51.3,14.2
Cultivar 3,47.5,14
Cultivar 3,52.1,17
Cultivar 3,47.5,15
Cultivar 3,52.2,17.1
Cultivar 3,45.5,14.5
Cultivar 3,49.5,16.1
Cultivar 3,44.5,14.7
Cultivar 3,50.8,15.7
Cultivar 3,49.4,15.8
Cultivar 3,46.9,14.6
Cultivar 3,48.4,14.4
Cultivar 3,51.1,16.5
Cultivar 3,48.5,15
Cultivar 3,55.9,17
Cultivar 3,47.2,15.5
Cultivar 3,49.1,15
Cultivar 3,47.3,13.8
Cultivar 3,46.8,16.1
Cultivar 3,41.7,14.7
Cultivar 3,53.4,15.8
Cultivar 3,43.3,14
Cultivar 3,48.1,15.1
Cultivar 3,50.5,15.2
Cultivar 3,49.8,15.9
Cultivar 3,43.5,15.2
Cultivar 3,51.5,16.3
Cultivar 3,46.2,14.1
Cultivar 3,55.1,16
Cultivar 3,44.5,15.7
Cultivar 3,48.8,16.2
Cultivar 3,47.2,13.7
Cultivar 3,,
Cultivar 3,46.8,14.3
Cultivar 3,50.4,15.7
Cultivar 3,45.2,14.8
Cultivar 3,49.9,16.1
